district,candidate,party,votes_received
Nuwaraeliya,A.S.P. LIYANAGE,SLLP,0
Nuwaraeliya,KEERTHIE WICKRAMARATNE,AJP,2
Nuwaraeliya,PRIYANTHA WICKRAMASINGHE,NSSP,5
Nuwaraeliya,RANIL WICKREMESINGHE,IND16,5087
Nuwaraeliya,PANI WIJESIRIWARDENA,SEP,2
Nuwaraeliya,OSHALA HERATH,NIF,4
Galle,AKMEEMANA DAYARATHANA THERO,IND1,24
Galle,ABUBAKAR MOHAMED INFAS,DUA,4
Galle,SIRIPALA AMARASINGHE,IND2,5
Galle,K.K. PIYADASA,IND4,13
Galle,SARATH KEERTHIRATHNA,IND5,4
Galle,K.A. KULARATNA,IND6,4
Galle,K.R. KRISHAN,APP,4
Galle,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,1
Galle,DILITH JAYAWEERA,SLCP,375
Galle,SIRITUNGA JAYASURIYA,USP,9
Galle,MYLVAGANAM THILAKARAJAH,IND8,1
Galle,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,34
Galle,LALITH DE SILVA,UNFF,4
Galle,AJANTHA DE ZOYSA,RJA,11
Galle,ANURA KUMARA DISSANAYAKE,NPP,25892
Galle,MAHINDA DEWAGE,SLSP,6
Galle,ARIYANETHIRAN PAKKIYASELVAM,IND9,3
Galle,VICTOR PERERA,IND10,3
Galle,ANURUDDHA POLGAMPALA,IND11,6
Galle,SAJITH PREMADASA,SJB,5338
Galle,SARATH FONSEKA,IND12,57
Galle,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,26
Galle,SARATH BANDARANAYAKE,NDF,7
Galle,BATHTHARAMULLE SEELARATHANA THERO,JSP,19
Galle,NUWAN BOPEGE,SPF,57
Galle,SARATH MANAMENDRA,NSU,5
Galle,PEMASIRI MANAGE,IND14,1
Galle,ANURUDDHA ROSHAN RANASINGHE,IND15,12
Galle,JANAKA RATNAYAKE,ELPP,8
Galle,NAMAL RAJAPAKSHA,SBP,68
Galle,NAMAL RAJAPAKSA,SLPP,863
Galle,WIJEYADASA RAJAPAKSHE,JPF,28
Galle,A.S.P. LIYANAGE,SLLP,1
Galle,KEERTHIE WICKRAMARATNE,AJP,5
Galle,PRIYANTHA WICKRAMASINGHE,NSSP,13
Galle,RANIL WICKREMESINGHE,IND16,7226
Galle,PANI WIJESIRIWARDENA,SEP,1
